row_id,vehicle_id,latitude,longitude,threadId,distance
1,1168038,31.81654,35.18962,1,0
2,1168038,31.81489,35.19168,1,0.26748526628015146
3,1168038,31.81528,35.19092,1,0.08388950954715525
4,1168038,31.81502,35.19194,1,0.10062082781144205
5,1168038,31.81752,35.18783,1,0.47758400697063347
11,1168038,31.81723,35.18818,1,0.04618949795093404
12,1168038,31.79666,35.22951,1,4.526029411938258
18,1168038,31.79995,35.23269,1,0.473444080790055
30,1168038,31.80293,35.22923,1,0.4655261326239226
32,1168038,31.80417,35.23035,1,0.17382031215589544
34,1168038,31.80412,35.23182,1,0.13902550308768644
55,1168038,31.80383,35.23254,1,0.0752944212509969
57,1168038,31.80385,35.23313,1,0.055799233494414534
71,1168038,31.80458,35.23575,1,0.2605552332041484
75,1168038,31.8073,35.23556,1,0.30298265621226766
84,1168038,31.80673,35.23451,1,0.11773722039238876
90,1168038,31.80644,35.22993,1,0.4339959947294222
103,1168038,31.8057,35.22051,1,0.8939618570740191
116,1168038,31.80651,35.21614,1,0.42266219984201275
130,1168038,31.80881,35.20762,1,0.8447494711092502
142,1168038,31.81253,35.2013,1,0.726459823155888
145,1168038,31.81273,35.19935,1,0.1855943512577211
158,1168038,31.81503,35.19516,1,0.47133101512441
166,1168038,31.81248,35.19522,1,0.28360373549494866
172,1168038,31.8143,35.19322,1,0.27689173240532017
179,1168038,31.81649,35.18982,1,0.4031227689699872
6,508395,32.8164,35.13748,1,0
8,508395,32.81615,35.13755,1,0.02855801750178525
9,508395,32.81615,35.13755,1,0
10,508395,32.81615,35.13755,1,0
31,508395,32.81739,35.05473,1,7.740682995622385
35,508395,32.81716,35.05505,1,0.03934836792638435
38,508395,32.81737,35.05471,1,0.03943043422655794
39,508395,32.81736,35.05529,1,0.05421152432496884
42,508395,32.81879,35.05491,1,0.16292559960985373
43,508395,32.81953,35.05535,1,0.09198512794950287
48,508395,32.82297,35.05816,1,0.4639632735986998
49,508395,32.82462,35.05893,1,0.19707526180234997
50,508395,32.8264,35.0609,1,0.27029482239932384
52,508395,32.82672,35.06171,1,0.08363247369189773
53,508395,32.82795,35.06306,1,0.18605803569923463
56,508395,32.83006,35.06367,1,0.2414450415575828
61,508395,32.83211,35.06441,1,0.23820479616657442
64,508395,32.83371,35.06506,1,0.1879916970441472
67,508395,32.83419,35.06526,1,0.05655008170187043
68,508395,32.83494,35.06563,1,0.09027711725857301
72,508395,32.83627,35.06721,1,0.20895546903809048
73,508395,32.83563,35.06851,1,0.1407706381775863
76,508395,32.8342,35.07141,1,0.314159332927331
77,508395,32.83354,35.07248,1,0.12401674978991217
80,508395,32.83265,35.07367,1,0.14884775214419935
101,508395,32.83255,35.07378,1,0.015141715936283285
102,508395,32.83255,35.07376,1,0.001868650136596493
105,508395,32.83254,35.07375,1,0.0014523755032221986
106,508395,32.83255,35.07373,1,0.002174461978611822
107,508395,32.83255,35.07373,1,0
108,508395,32.83252,35.07374,1,0.003464223457814135
113,508395,32.83244,35.07369,1,0.010047672004264254
114,508395,32.83242,35.07368,1,0.002412196172857215
115,508395,32.83235,35.07368,1,0.007783644865219485
117,508395,32.83224,35.07373,1,0.013093218870223368
118,508395,32.83224,35.07373,1,0
119,508395,32.83209,35.07377,1,0.01709282153297376
120,508395,32.83175,35.07387,1,0.03894370303289222
122,508395,32.83157,35.07393,1,0.020785355648437177
123,508395,32.83157,35.07393,1,0
124,508395,32.83137,35.07399,1,0.02293468798419667
125,508395,32.83118,35.07404,1,0.02163738345621054
126,508395,32.8308,35.07415,1,0.04348607692037547
127,508395,32.83061,35.0742,1,0.02163738993150419
129,508395,32.83024,35.07431,1,0.04240646050111456
132,508395,32.82903,35.0746,1,0.13724721906771192
139,508395,32.82727,35.07516,1,0.20257733405263362
144,508395,32.82465,35.07709,1,0.3426301487288441
146,508395,32.82417,35.07889,1,0.17645944233197475
160,508395,32.82411,35.07951,1,0.05831653438548251
165,508395,32.82361,35.0817,1,0.2120553388710024
167,508395,32.82211,35.08153,1,0.1675471360929234
171,508395,32.81995,35.08102,1,0.24486343021009555
173,508395,32.81887,35.08059,1,0.12663459263131427
174,508395,32.8171,35.07945,1,0.2237965707009721
187,508395,32.81679,35.07922,1,0.04062228764520955
195,508395,32.81552,35.08138,1,0.24634612644305973
198,508395,32.81519,35.08643,1,0.47334993282507193
199,508395,32.81522,35.08741,1,0.09164247207779526
205,508395,32.81454,35.09181,1,0.41807919497964235
210,508395,32.81321,35.09649,1,0.4616834035553386
213,508395,32.81267,35.09892,1,0.23489531673583702
215,508395,32.81264,35.09954,1,0.058037077916009865
218,508395,32.81289,35.1002,1,0.06765420960998547
219,508395,32.81406,35.10153,1,0.17992773041725627
222,508395,32.81456,35.10283,1,0.13360470974430488
226,508395,32.81612,35.10515,1,0.27765874472977625
228,508395,32.81684,35.1064,1,0.14161443349391914
231,508395,32.81656,35.10798,1,0.15089664594081056
233,508395,32.81644,35.10929,1,0.12314375697736021
235,508395,32.81682,35.10997,1,0.07631144290290727
241,508395,32.81752,35.1112,1,0.13881696437329422
244,508395,32.81809,35.11221,1,0.11368914196747922
247,508395,32.81903,35.11388,1,0.1878266515598944
251,508395,32.81907,35.11599,1,0.19722271677227862
252,508395,32.81581,35.12027,1,0.5397872652917954
256,508395,32.81507,35.12463,1,0.41566991627575817
257,508395,32.81395,35.1279,1,0.32998910947827415
258,508395,32.81261,35.12947,1,0.20911329297019413
259,508395,32.80997,35.1318,1,0.36549870533502127
260,508395,32.80891,35.13297,1,0.1607754796416672
261,508395,32.80906,35.13406,1,0.10322489220450029
262,508395,32.80925,35.13502,1,0.09217277441905755
263,508395,32.80952,35.13752,1,0.23556321663986343
264,508395,32.80988,35.14,1,0.23520369821322765
265,508395,32.8117,35.14305,1,0.3495751058126845
266,508395,32.81226,35.14222,1,0.09946898214686563
7,1201369,32.057,34.8456,1,0
13,1201369,31.93317,34.92807,1,15.813852391201678
14,1201369,31.94209,34.92984,1,1.0058231117181757
15,1201369,31.94865,34.93137,1,0.7435868939488217
16,1201369,31.9538,34.93473,1,0.6545448705908966
17,1201369,31.95424,34.93512,1,0.06121760821468154
19,1201369,31.95599,34.93663,1,0.2411653607925921
20,1201369,31.95601,34.93687,1,0.022751479527920455
21,1201369,31.95587,34.9374,1,0.052369540963642804
22,1201369,31.95567,34.93796,1,0.0573224783669113
23,1201369,31.95541,34.93842,1,0.05214641241976652
24,1201369,31.95522,34.93858,1,0.025965643641131665
25,1201369,31.95425,34.93938,1,0.13164432290757594
26,1201369,31.95423,34.93944,1,0.00608191652858968
27,1201369,31.95422,34.93949,1,0.004846566319810158
28,1201369,31.95424,34.93955,1,0.006081917102178214
29,1201369,31.95437,34.93975,1,0.02376974190992436
33,1201369,31.95473,34.94013,1,0.05373756529740309
36,1201369,31.95489,34.94017,1,0.01818702762157603
37,1201369,31.95556,34.9407,1,0.08972517352507205
40,1201369,31.95756,34.94206,1,0.2567487138578403
41,1201369,31.95926,34.94226,1,0.18997071559709866
44,1201369,31.96371,34.94217,1,0.49489026082185356
45,1201369,31.96395,34.94221,1,0.02695223833452067
46,1201369,31.96434,34.94233,1,0.04481919345392548
47,1201369,31.96462,34.94248,1,0.034199302348494116
51,1201369,31.97602,34.94841,1,1.3855550765097622
54,1201369,31.98007,34.95079,1,0.5031887448834753
58,1201369,31.98314,34.95204,1,0.3611538341457014
59,1201369,31.98338,34.952,1,0.02695212652446307
60,1201369,31.98342,34.95198,1,0.004831260733828335
62,1201369,31.98357,34.95174,1,0.028117149472500193
63,1201369,31.98355,34.95174,1,0.0022238985328069828
65,1201369,31.98358,34.95172,1,0.0038322381558593935
66,1201369,31.9846,34.95159,1,0.11407962488389098
69,1201369,31.9876,34.95081,1,0.3415998843641024
70,1201369,31.9893,34.95099,1,0.18979210158282772
74,1201369,31.99545,34.95168,1,0.6869377531250501
78,1201369,32.00291,34.95339,1,0.8450419976787119
79,1201369,32.00457,34.95376,1,0.18785192295822262
81,1201369,32.0114,34.95359,1,0.7596304900513736
82,1201369,32.01213,34.95356,1,0.08122156529036971
83,1201369,32.0135,34.95352,1,0.15238372698346098
88,1201369,32.01887,34.95367,1,0.5972842079189543
94,1201369,32.02425,34.95388,1,0.598556218746128
99,1201369,32.02575,34.95397,1,0.16700805120213846
121,1201369,32.03025,34.9545,1,0.502865404432568
128,1201369,32.03181,34.95493,1,0.1781371663711782
131,1201369,32.0346,34.95581,1,0.3211326773119267
134,1201369,32.03614,34.95539,1,0.17575716577237666
135,1201369,32.03664,34.95507,1,0.06325282425009968
137,1201369,32.03711,34.95465,1,0.06556374454261886
143,1201369,32.04129,34.94965,1,0.6619289408753264
147,1201369,32.04721,34.94507,1,0.7871922147880513
149,1201369,32.04933,34.94405,1,0.2545818117121628
154,1201369,32.05248,34.94352,1,0.3538077684441814
155,1201369,32.05261,34.94347,1,0.015204011452985004
159,1201369,32.05253,34.94358,1,0.013660314876586985
161,1201369,32.05372,34.94357,1,0.13232531884437645
170,1201369,32.05372,34.94349,1,0.007539468599251507
176,1201369,32.05832,34.94312,1,0.5126838153613625
181,1201369,32.06303,34.94282,1,0.5244905803254821
184,1201369,32.06648,34.94373,1,0.3930896502977542
185,1201369,32.06849,34.94459,1,0.23773949208847653
189,1201369,32.06844,34.94455,1,0.006716926034673337
191,1201369,32.0711,34.94543,1,0.3071816802569294
193,1201369,32.07393,34.94689,1,0.3434373657909554
196,1201369,32.08074,34.95117,1,0.857919060672229
200,1201369,32.08281,34.95226,1,0.25204334101609216
201,1201369,32.08372,34.95245,1,0.10275851679320577
202,1201369,32.0838,34.95241,1,0.009660908775004001
204,1201369,32.08382,34.95239,1,0.0029148090256334957
206,1201369,32.08382,34.9523,1,0.008479110824748212
207,1201369,32.08511,34.95152,1,0.1611692039270462
208,1201369,32.08529,34.95127,1,0.030908490565135453
209,1201369,32.08554,34.95085,1,0.04835736906019246
212,1201369,32.08703,34.94756,1,0.35145293256634313
221,1201369,32.09404,34.93918,1,1.1094148298038213
223,1201369,32.09623,34.93584,1,0.397860121434525
224,1201369,32.09668,34.93543,1,0.06320925828370902
225,1201369,32.097,34.93522,1,0.04071147330928859
227,1201369,32.09913,34.93521,1,0.23684706695194468
232,1201369,32.10566,34.93626,1,0.7328077188785758
239,1201369,32.10555,34.93628,1,0.012375656145566025
240,1201369,32.1056,34.9363,1,0.005870219326472919
245,1201369,32.11222,34.93777,1,0.7490180791675504
246,1201369,32.11263,34.93809,1,0.05465135483972144
249,1201369,32.11427,34.93985,1,0.24643743999294448
254,1201369,32.11443,34.94033,1,0.04858170654875614
255,1201369,32.11451,34.94042,1,0.01228733825488305
85,1249503,32.09092,34.80581,1,0
86,1249503,32.09094,34.80589,1,0.007857675534078413
87,1249503,32.09094,34.80591,1,0.0018841000450921725
89,1249503,32.0909,34.80595,1,0.005829428521291894
91,1249503,32.08972,34.80603,1,0.13142627491461803
92,1249503,32.08969,34.806,1,0.0043720956832504435
93,1249503,32.08967,34.80598,1,0.0029147307883817127
95,1249503,32.08983,34.80545,1,0.053004353821451244
96,1249503,32.08978,34.80532,1,0.013449719283307448
97,1249503,32.08963,34.80524,1,0.01830289257419262
98,1249503,32.08908,34.8049,1,0.06903724803614032
100,1249503,32.08886,34.80436,1,0.05644796293063031
104,1249503,32.08884,34.80434,1,0.002914741851402396
109,1249503,32.089,34.80413,1,0.02660663019663711
110,1249503,32.08903,34.80403,1,0.009993870343543708
111,1249503,32.08901,34.80396,1,0.006959382604442073
112,1249503,32.08897,34.80393,1,0.005269759373598652
133,1249503,32.08843,34.80399,1,0.0603107234110254
136,1249503,32.08791,34.80394,1,0.058012909667889384
138,1249503,32.08753,34.80362,1,0.05190595249424754
140,1249503,32.08694,34.80454,1,0.10870176009257018
141,1249503,32.08686,34.80453,1,0.008945341338953491
148,1249503,32.08652,34.80435,1,0.04143522237799756
150,1249503,32.08686,34.80454,1,0.041829614666844386
151,1249503,32.08688,34.80448,1,0.0060742956521857286
152,1249503,32.08693,34.80439,1,0.01013909492605848
153,1249503,32.08733,34.80363,1,0.08428924116832802
156,1249503,32.08753,34.80381,1,0.027966605637921846
157,1249503,32.08789,34.80409,1,0.04793987122165062
162,1249503,32.08831,34.80413,1,0.04685365301118255
163,1249503,32.08848,34.80392,1,0.0273627391980289
164,1249503,32.08849,34.80383,1,0.008551281298320411
168,1249503,32.08945,34.80155,1,0.23985530722781237
169,1249503,32.08947,34.80151,1,0.004375559004202914
175,1249503,32.09058,34.79868,1,0.29378756844435655
177,1249503,32.09063,34.79848,1,0.019644253111997762
178,1249503,32.09062,34.79842,1,0.0057606551950743715
180,1249503,32.08972,34.79816,1,0.10302924037069018
182,1249503,32.08911,34.79838,1,0.07092463969878181
183,1249503,32.08887,34.79874,1,0.043155293209849954
186,1249503,32.08875,34.79907,1,0.033830949972035215
188,1249503,32.08868,34.79914,1,0.010201602778284753
190,1249503,32.08856,34.79919,1,0.01415039474465074
192,1249503,32.08838,34.79925,1,0.02079793075216848
194,1249503,32.08816,34.79926,1,0.024481017073219407
197,1249503,32.0874,34.79904,1,0.08701256199433667
203,1249503,32.08697,34.79884,1,0.05139235069535291
211,1249503,32.08551,34.79826,1,0.17129355943604233
214,1249503,32.08503,34.79808,1,0.056002763990457255
216,1249503,32.08497,34.79803,1,0.00816705962212434
217,1249503,32.08477,34.79798,1,0.02273239697614164
220,1249503,32.08389,34.79781,1,0.09915359564301368
229,1249503,32.08229,34.79775,1,0.17800166282207566
230,1249503,32.08198,34.79771,1,0.03467581900803156
234,1249503,32.08153,34.7976,1,0.05109967863906071
236,1249503,32.08133,34.79762,1,0.022318670218727417
237,1249503,32.08128,34.7976,1,0.0058703799593497995
238,1249503,32.08123,34.79757,1,0.006236954111754274
242,1249503,32.08022,34.79702,1,0.12368506691727053
243,1249503,32.07945,34.79646,1,0.10057109879494766
248,1249503,32.07801,34.795,1,0.2110941782562816
250,1249503,32.07739,34.79425,1,0.09872305009017242
253,1249503,32.07422,34.79297,1,0.3725488749855553
